epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
64,10188.7,1.1843,3.19002,1.3774,0.02671,2.51698,0.71723,0.74059,0.72801,0.46089,0.54383,0.56208,0.45697,0.18946,1.07685,3.92265,1.01351,0.04669,0,0.000308412,0.000308412,0.000308412
65,10344.9,1.18218,3.16106,1.35475,0.02662,2.48622,0.69504,0.72078,0.69467,0.44179,0.51586,0.55254,0.43816,0.18079,1.08964,3.92116,1.08191,0.0473,0,0.000294239,0.000294239,0.000294239
66,10500.4,1.18962,3.17257,1.35985,0.02695,2.50403,0.6745,0.72331,0.69109,0.44005,0.51786,0.57937,0.44892,0.1845,1.09905,3.92418,1.07411,0.04751,0,0.000280275,0.000280275,0.000280275
67,10656.1,1.17045,3.13224,1.35754,0.02637,2.42945,0.70968,0.74033,0.7317,0.45542,0.5195,0.55283,0.43309,0.18228,1.09224,3.94078,1.07463,0.04737,0,0.000266532,0.000266532,0.000266532
68,10781.7,1.01594,2.84543,1.03189,0.03385,1.78009,0.7109,0.72141,0.71891,0.47464,0.52651,0.5469,0.45159,0.1984,1.00229,3.78084,1.08882,0.04319,0,0.000253024,0.000253024,0.000253024
69,10907.7,0.97117,2.81014,0.83931,0.03227,1.52962,0.68599,0.70839,0.70164,0.46103,0.48231,0.54996,0.44855,0.19964,1.01166,3.91167,1.13929,0.04368,0,0.000239766,0.000239766,0.000239766
70,11033,0.96248,2.75163,0.78184,0.03149,1.39501,0.76354,0.6744,0.73492,0.4865,0.56712,0.50979,0.46046,0.19564,1.0178,3.83289,1.02011,0.0438,0,0.000226769,0.000226769,0.000226769
71,11158.8,0.9705,2.73061,0.79273,0.0319,1.31408,0.7072,0.7476,0.75703,0.49434,0.57539,0.57733,0.49659,0.20958,1.01049,3.84355,0.99186,0.04335,0,0.000214046,0.000214046,0.000214046
72,11284.4,0.95529,2.67522,0.75176,0.0312,1.26304,0.73148,0.74162,0.7693,0.51114,0.55087,0.56689,0.49801,0.21252,1.00874,3.87035,0.99004,0.04351,0,0.000201611,0.000201611,0.000201611
73,11410.1,0.95516,2.7033,0.74928,0.03145,1.24855,0.74665,0.6924,0.75095,0.49761,0.58729,0.55754,0.53188,0.22558,1.00549,3.76386,1.00584,0.04335,0,0.000189475,0.000189475,0.000189475
74,11535.8,0.94465,2.71208,0.73161,0.03109,1.22041,0.75578,0.7266,0.76756,0.5151,0.60949,0.59611,0.55183,0.23394,0.98653,3.73212,0.98942,0.04246,0,0.000177651,0.000177651,0.000177651
75,11661.7,0.95686,2.64104,0.72946,0.03142,1.19076,0.68636,0.76765,0.7244,0.49128,0.56202,0.59057,0.49738,0.21854,1.00128,3.77203,0.99326,0.043,0,0.000166149,0.000166149,0.000166149
76,11787.4,0.9511,2.60303,0.70514,0.03106,1.22633,0.76692,0.69997,0.73263,0.50086,0.60209,0.56674,0.50799,0.21532,0.99375,3.85609,0.94584,0.04278,0,0.000154982,0.000154982,0.000154982
77,11912.9,0.95733,2.64507,0.70631,0.03138,1.18182,0.70816,0.74945,0.75277,0.50671,0.6409,0.55938,0.53511,0.22228,1.01628,3.78205,0.95721,0.04387,0,0.000144161,0.000144161,0.000144161
78,12038.4,0.93917,2.60149,0.70081,0.03096,1.18542,0.74258,0.71428,0.75539,0.50991,0.59372,0.57182,0.51198,0.22322,1.01644,3.91383,0.94316,0.04388,0,0.000133695,0.000133695,0.000133695
79,12163.8,0.9359,2.60511,0.68718,0.03088,1.162,0.71598,0.7176,0.73951,0.49851,0.64752,0.53055,0.50501,0.22,0.99556,3.82559,1.00079,0.04263,0,0.000123596,0.000123596,0.000123596
